id,text,label
25,AMZN and TSLA are pure bubble stocks inflating to eventual oblivion. Both are emblematic great American Ponzi schemes.  Madoff is red w/envy,Human
26,"By creating memos on a govt computer, the memos would be classified as govt documents right? So Comey violated NDA & broke Fed law via leaks",Human
27,"One point on history: when a high-multiple company takes over a low-margin business, it often doesn't have a happy ending #AmazonWholeFoods",Human
28,"A comprehensive and global PR on reorg, symbol change date, FINRA approval, and new HQ address in State of WA is Coming Soon-Frank Helpful?",Human
29,"News on OTC Symbol Change and Documents from NV SoS.  Happy Fathers Day to all, keep up the great & challenging job of just being Dad! Frank",Human
30,"Only 1 company on earth can buy grocery chain, be rumored to buy enterprise software company & in both cases be lauded for strategic vision",Human
31,"The #AmazonWashingtonPost, sometimes referred to as the guardian of Amazon not paying internet taxes (which they should) is FAKE NEWS!",Human
32,"Amazon will have ""Lockers"" at Whole Foods where you can pick up or drop off packages while shopping.Delivery savings sold as convenience.",Human
33,"What's app millennials can't live without?  Snapchat?  Nope, Insta?  Nope....  You guessed it - Amazon.. Millennials are NOT killing Amazon.",Human
34,"Amazon is doing great damage to tax paying retailers. Towns, cities and states throughout the U.S. are being hurt - many jobs being lost!",Human
35,"""Be prepared, among other things, for my company to duplicate your product or service and sell it at prices you can never compete with""",Human
36,So many stories about me in the @washingtonpost are Fake News. They are as bad as ratings challenged @CNN. Lobbyist for Amazon and taxes?,Human
37,"The Amazon Washington Post fabricated the facts on my ending massive, dangerous, and wasteful payments to Syrian rebels fighting Assad.....",Human
38,Is Fake News Washington Post being used as a lobbyist weapon against Congress to keep Politicians from looking into Amazon no-tax monopoly?,Human
39,"While all agree the U. S. President has the complete power to pardon, why think of that when only crime so far is LEAKS against us.FAKE NEWS",Human
40,No reason or possibility to stop @amazon @jimcramer it makes all retailers better. Stop lazy practices and sharpen sga and pricing,Human
41,"Notable emphasis on #subscriptions this #PrimeDay, with more aggressive SnS discounts as the event progressed #onlinegrocery @KantarRetail",Human
42,Amazon Prime has far lower churn. Less than 1% a month. Cowen estimates customer churn at 167 months. Watch for my blog post in two weeks.,Human
43,Merger filing: it was a media story speculating that AMZN was interested in acquiring WFM that initially caused WFM to seek an intro to AMZN,Human
44,"Notice any price cuts at your local Whole Foods? Tweet us photos of the discounts at #CheddarLIVE, and we'll feature them on air.",Human
45,"David O Russell, Robert De Niro, Julianne Moore are pulling out of their Amazon-Weinstein Co TV series. Was huge project for both companies",Human
46,"I think meat is the next bull market . Screw a bitcoin. Give me some chuck. Some sirloin, some rump some flank some some top round. #meat",Human
47,Thoughts with all those affected in Las Vegas. So much gratitude to all the police & good Samaritans who put their lives on the line to help,Human
48,BREAKING on the Bloomberg Terminal: Several senior Amazon executives advocate putting a second headquarters in #Boston. @business,Human
49,Bloomberg is incorrect - there are no front-runners at this point. We're just getting started & every city is on equal playing field (2/2),Human
50,U.S. retail growth softens in August as Prime day pulled demand forward to the previous month. But mass/value channel attracted BTS shoppers,Human
51,Meet Echo Connect:  connects to your home phone line and turns echo into a landline speaker phone. There is a lot here that is not apparent.,Human
52,Amazon plane packed with donation of critical supplies landed earlier today in San Juan. Thank you to all the Amazonians who made it happen.,Human
53,"4) @jeffbezos I am calling on you to stop funding rapists, alleged pedos and sexual harassers. I love @amazon but there is rot in Hollywood",Human
54,"#Retail sales data support strong underlying #consumer momentum and core #inflation remains dormant, still growing under 2%. #Fed to go slow",Human
55,Hitting export on hidden camera footage into Washington Post shortly. Project Veritas vs Bezos 100mm monopoly. Fasten your seatbelts.,Human
56,"Ten years ago today, we launched the first-ever Kindle. Happy 10th birthday @AmazonKindle and thank you to all the Kindle readers and authors!",Human
57,+25.8% today! Only a couple of trades! Cashed in on swings and then traded like snipers while others were losing money in the red market.,Human
58,1994 Jeff Bezos mailing list post from a netcom email addy looking for C/C++ developers to help pioneer commerce on the internet.,Human
59,Amazon winning a huge Pentagon contract means people with echo listening devices can be eavesdropped on by both military intelligence/NSA *and* the CIA,Human
60,"Jeffrey P. Bezos is worth 98,6 billion dollars, 10% of his employees have to live on food stamps and welfare (which is paid by for by the public)",Human
61,"Amazon has made me so impatient I'm now ordering more stuff to pick up in store. Tried Target today, Best Buy previously. Both very easy. @speckproducts",Human
62,"Asked if he's talked to Dimon, Buffett or Bezos, Cigna CEO Cordani says, ""I've spoken to two of those three in the recent past."" @CNBC @SquawkStreet",Human
63,"Sentiment around the tech is morphing, it's no longer looked at as the ""good guys"" (and hasn't for a while to some groups). Who's good now?",Human
64,"THERE ARE NO SPECIFIC POLICY CHANGES REGARDING #AMAZON RIGHT NOW, BUT ALWAYS LOOKING AT DIFFERENT OPTIONS -WHITE HOUSE OFFICIAL: RTRS",Human
65,Question: Can the President be sued by Amazon Shareholders for his intentionally and vindictively causing the stock price to go down?,Human
66,Just passed 65K DB migrations to #AWS. Turns out that #DBfreedom and having the right DB solution for each workload are strong pulls.,Human
67,Jeff Bezos just shit his pants...President Trump just ordered a task force to review the U.S. Postal Services pricing on packages.,Human
68,Fake Newsers: focus: soon you will not have to worry about the USPS-Amazon contract because Amazon will not renew and can do it cheaper than USPS.,Human
69,Its the biggest week of earnings this season. These are the top companies who will be reporting and the expectations they have to beat.,Human
70,Whats a non-Tesla example of a company thats world-class in some area of its business but possibly massively unethical/deceptive in another?,Human
71,We had a very special delivery today! The @VuzixBlade has arrived and I cant wait for @TheFuturus team to start developing for it! #AR #VuzixBlade #Wearables,Human
72,chart indicates 50% chance AMZN will gap up big on Thursday running to 1712-1726 range. but size plays always important - especially in a mkt like this.,Human
73,Periodic reminder that Amazon has low single digit percentage share of US retail. Gas stations are a bigger business than all of e-commerce.,Human
74,"BREAKING: Amazon will split second headquarters between New York City and Virginia, according to a person familiar with the plans.",Human
75,"First time seeing @Amazon's Spheres in person. ""The Spheres are a place where employees can think and work differently surrounded by plants.""",Human
76,Today we have a special guest on episode 286 of the Trading Justice podcast. We welcome David Moadel on to the show.#investing #trading #stockmarket,Human
77,Washington Post columnist and MSNBC contributor Jennifer Rubin: Sarah Huckabee Sanders should be harassed publicly as a 'life sentence.',Human
78,I noticed on last week's Amazon's press release to investors Amazon announced Alexa will now listen without customers having to say the wake word. Huh.,Human
79,if you have a clean shirt and a necktie (and nothing better to do on a Friday) you could be a guest on CNBC to provide your opinion on Amazon's earnings,Human
80,Amazon has a new solution to combat thieves that steal packages. They're going to deliver things to your parked car. @jimcramer and @davidfaber discuss.,Human
81,States and Cities throughout our Country are being cheated and treated so badly by online retailers. Very unfair to traditional tax paying stores!,Human
82,"I am stunned that Jeff Bezos just disclosed the number of Amazon Prime members, a figure the company has refused to reveal for years. (It's 100 million.)",Human
83,"Meanwhile, after just costing NYC 25,000 jobs, @AOC probably sitting on her government issued laptop ordering something off of Amazon",Human
84,A trillion-dollar company like Amazon should never have gotten billions in subsidies from New York taxpayers. twitter.com/nytimes,Human
85,"""Labor thought they could reach a deal but Amazon walked away from New York rather than adjust their anti-union position,"" says @JimmyVanBramer.",Human
86,"JUST IN: Amazon will shut all 87 of its pop-up stores in the U.S., according to a Wall Street Journal report citing a spokesperson for the company",Human
87,Amazon Will No Longer Tell Third-Party Merchants That Sell Goods On Its Platform That They Cannot Offer A Lower Price On Another Website - Axios,Human
88,"Do you want to know what's crazy? Last year, Amazon and Netflix, to name a couple companies, paid no federal income taxes after making billions in profits.",Human
89,"Yes, been very disappointing but AMZN went down twice over 90pct and turned out ok. We bought more in q4 twitter.com/EHOPE26",Human
90,When @amazon crashes your prom photos you gotta get a picture!! Thanks for being a good sport with this crazy crew! #amazon #amazonprime,Human
91,"Have a stake in #stocks?#Gold?#Silver?Or how about...#dollars?Well then, you might wanna give this one a listen - twitter.com/davidmoadel/",Human
92,"""World events are staged and managed by those who hold the purse strings."" - Denis Healey, former Secretary of State for Defense",Human
93,"What was the last heavily loved idea by the Very Serious COBF/Bluegrass types that actually worked? Not really a troll, just trying to think",Human
94,We've all got this friend who's always late and even fails miserably at expectation management.  #delivery #ecommerce #LEH #groceries,Human
95,"Alibaba's billionaire chairman Jack Ma is stepping down today.Here's a look back at his defense of 12-hour workdays and 6-day workweeks, despite  backlash",Human
96,"RED ALERT: Amazon CEO Jeff Bezos says the company has ""just placed an order for 100,000 electric delivery vans"" from Michigan-based start-up Rivian.",Human
97,2019 @washingtonpost obit for Adolph Hitler: Austere political scholar at the helm of the the Third Reich .... twitter.com/PamelaGeller,Human
98,"The degenerate Washington Post MADE UP the story about me asking Bill Barr to hold a news conference. Never happened, and there were no sources!",Human
99,I cant wait til Amazon preemptively breaks itself up in advance of antritrust action. AWS is going to be such an incredible stock to own.,Human
100,I bet Bezos is livid about whats coming out about him and having been spied on but its kinda karma for him because Alexa does the same,Human
101,Never seen advertising on an Amazon box before. If they can get targetting right - which they clearly havent in this case - its a game changer.,Human
102,What happens to all these PE buyouts of old IT firms as AWS rips thru the market and replaces their value prop with something free or cheap?,Human
103,"JUST IN: Amazon announces YouTube-like video service including monetization options, allowing anyone to upload videos to ""Video Direct""",Human
104,Looking for shoppers who pulled back sharply starting in March. Was it the weather? Economy? Eating out more.Pls. email:adinnocenzio@ap.org,Human
105,"Amazon to roll out new private-label products in coming weeks including branded nuts, spices, tea, coffee, baby food, diapers, detergents-DJ",Human
106,"(More) Amazon's new private-label products, its first big push into perishable foods, will be available only to Prime subscribers - DJ",Human
107,"Amazon CEO: ""Absolutely"" dedicated to making Alexa & machine learning a big part of Amazon's business; right now in ""first inning"" #CodeCon",Human
108,"Amazon CEO Bezos predicts he will still be in the same job in 5 years, thinks Amazon Studios will turn into a big business for the company",Human
109,"#BeigeBook: ""Modest"" economic growth in most districts, ""tight"" labor markets, slight growth in inflation with modest consumer spending",Human
110,Amazon to release new portable version of its Echo voice-activated speaker that will be smaller & cheaper than current version - Dow Jones,Human
111,JUST IN: Amazon to release new Kindle with rechargeable protective case next week; company also developing solar-charged Kindle case - DJ,Human
112,"JUST IN: Amazon says some customers are having trouble with checkout on its site, working to resolve issue; today is ""Amazon Prime Day""",Human
113,"via @Adobe data regarding @Amazon #PrimeDay --> confirms shoppers are coastal: CA, NY, TX, FL, WA were top US states engaged in #PrimeDay",Human
114,"Well, @amazon Prime Video has been down for quite some time, I guess I'll have to go out - it's Friday night; probably all for the best then",Human
115,"Amazon Prime subs up 47%, so original series spending has doubled in 1H 2016 vs. year-ago, says @AmazonVideo's Roy Price, who won't give #s",Human
116,Acia guided way up. Will take twlo with it. tells you cloud about to explode.   Amzn earnings..Twlo was about to breakdown. News trumps all,Human
117,"To clarify...If you have Amazon Prime, you have Twitch Prime. And a free channel sub every month. And free game content every month.",Human
118,"Introducing Twitch Prime! Free game loot, free channel sub every 30 days, the best of Turbo and the best of Amazon Prime, and more!",Human
119,"Finally canceled my @AmazonFresh. What a horrible experience. In 15 yrs of use, never had problems with Amazon until past 3 mos using Fresh.",Human
120,over 25 upgrades on amzn in last 6 weeks  all targets over 900  lol and people think lower   going to explode up before print   SIMPLE,Human
121,Congratulations to @realDonaldTrump. I for one give him my most open mind and wish him great success in his service to the country.,Human
122,"The @washingtonpost, which loses a fortune, is owned by  @JeffBezos for purposes of keeping taxes down at his no profit company, @amazon.",Human
123,JUST IN: Mall CEO who said Amazon would open 100s of bookstores releases new statement saying comments don't reflect Amazon's plans.,Human
124,$AMZN traded lower in October into blue box area $1631 from where buyer showed up for 3 waves bounce at least #elliottwave #trading,Human
125,#reliance is already in game thier attempt is to move beyond brick and motar to #ecommerce its more positive for $amzn $wmt than negative,Human
126,"Based on Friday ISM index will be looking to scalp $SPX march puts. Also, need to get $AMZN June calls. #OptionsTrading #options",Human
127,Didn't know that $AMZN was offering additional discounts to #Prime members. Just got 10% off on a pair of running shoes! #HappyNewYear,Human
128,It's fascinating to watch the Ponzi bulls just suck in every peice of PR released by Amazon. 2 billion items! You will never learn. $AMZN,Human
129,"Ponzi's upcoming earnings report is going to be another disappointment for bulls.  But hey, you've been warned many times. $AMZN",Human
130,"""@FortuneMagazine: Amazon`s third-party sellers shipped 2 billion units in 2014, double the 2013 figure $AMZN"" Did someone say Alibaba?",Human
131,Soo i watched all of #Transparent yesterday. Really good show. It's like orange is the new black by Amazon. Yet 2014 was a bad yr for $AMZN?,Human
132,Popular opinion 18 mos ago: $AMZN is absolute Bear that crushes small Cos. Unstoppable machine.Now: Rudderless. Unfocused. Vulnerable.,Human
133,"MS analyst has reiterated her buy rating on Ponzi about 3 times in the last two months, while MS has been busy reducing its stake. $AMZN",Human
134,Canaccord: $AMZN don't believe management will have incentive to change its four-year streak of managing business to break-even level,Human
135,"$AMZN another example. These giants will have their day again and u will want to be onside, but for now there's 100's of better names",Human
136,"$AMZN Bull Thesis:When Bezos completes building out standard inventory infrastructure in Asia(India,Japan),nothing will be able to stop them",Human
137,"$AMZN next area of interest is 303.83, unfortunately on the daily the parabolic sars are in a downtrend on the daily, trading below the 50",Human
138,"Going back to @goodreads. Now that goodreads is part of the $AMZN family, they could a better job with their web and native apps.",Human
139,Wow - huge win for $AMZN original series. I did binge-watch it and it is well-deserved.  New world of media and content at play...@RichBTIG,Human
140,Wow big win for Amazon's content investment strategy as its original Web show Transparent picks up #GoldenGlobes for best Comedy $AMZN,Human
141,"Amazon's #Transparent wins #GoldenGIobes best TV series, comedy or musical-- Amazon's first win- huge for streaming video! $AMZN @amazon",Human
142,Amazon $AMZN is now below the neck line I posted last week. A close below it give this stock an increased chance to continue down.,Human
143,Landis said some pre-IPO investors in Box and Dropbox may be left holding bag. Worst thing to happen to them was $AMZN getting in biz.,Human
144,@RedDogT3 i got lot of baseball stuff from $amzn over the weekend but the algo's do NOT care. algo's are emotion-less for sure :-),Human
145,@mercenaryjack What do you think of the argument that net profits can come asap if $amzn was focused on monetizing & not reinvestment?,Human
146,"Woody Allen commenting on his new $AMZN TV series: ""I don't know how I got into this. I have no ideas and I'm not sure where to begin.""",Human
147,"Fresh off of it's first Golden Globe wins for Transparent, $AMZN announces Woody Allen is doing a TV series for Prime Instant Video",Human
148,"@LaMonicaBuzz Yes it does, but incrementally $AMZN service is looking better. PLUS Free 2 day shipping. Eventually it will take share.",Human
149,@markmay @SquawkStreet  I'm with you on $AMZN. They will report a killer quarter and the losses won't be so bad. What a cash machine.,Human
150,"RT @carlquintanilla: Higher prices coing $AMZN? Citi says co is relying less on prices, more on convenience/selection. Upgrades to buy @CNBC",Human
151,"items keeps growing for prime now. they, AGAIN, have changed the way we will shop. $AMZN prime pays for itself in Manhattan, easily.",Human
152,"With $AMZN expanding same-hr delivery, investing in phones&video content sell-side believe profit margins are about explode higher? Really?",Human
153,"According to @rwbaird's Q4 Amazon survey, there are now more than 300k apps available for Fire devices (vs. Android 1.4M and iOS 1.2M) $AMZN",Human
154,"Woody Allen: ""I don't have an idea for the $AMZN show. They will probably regret it""A deeply flawed man -- this Woody -- but he's got wit",Human
155,The most eccentric news of the day: Woody Allen to make TV series for Amazon. Jeff Bezos seems to like the sight of awards. $AMZN,Human
156,"$AMZN Below all key moving avg, looking to test 284 Oct low before reporting at end of month. Buying the JanWk4 290/285 put spread for 0.95",Human
157,$AMZN pretty much at a 52wk low with Citi's upgrade.  Nice buy here in the 297 range.  Hiring Woody Allen is kind of interesting..,Human
158,"$AMZN hires Woody Allen for a tv series. Allen says, ""I have no ideas and I'm not sure where to begin."" Would you still watch? @CNBCWorld",Human
159,"@john_siracusa @daily_finance Salient article on Malls dying.  $AMZN, ""America's most loved co"" is the future.  Rev per emplyee is stunning.",Human
160,"$AMZN Amazon to Debut its First Original Hour-Long Drama Series Bosch on February 13 in the US, UK and GermanFrom our Stock News Alerts App",Human
161,"@LikeFolio Co-Founder @AndySwan on #PreMarket Prep: ""We saw in 2014 that other retailers are catching up to $AMZN for online shopping.""",Human
162,"@ProTradersNews He should have said ""after talking with #Bezos"" ... $AMZN Who will look into this #cumguzzlers intentions for that upgrade?",Human
163,@fitzstockcharts Really large head and shoulders/MA pattern $AMZN with support 284. Bought some puts yesterday but reconfirm weakness there?,Human
164,"""Our goal is to keep it rare"" -- $AMZN head of Kindle Russ Grandinetti on very public feud with Hachette last year #DBW15 @DigiBookWorld",Human
165,@RussGrandinetti : Aspects of $AMZN book pricing 1. Elasticity of individual titles 2. Genre/series clusters 3. system-level 4. Other media,Human
166,Interesting to hear @RussGrandinetti defend 30% retailer margins for digital because of CapEx investment $AMZN  #DBW15 #uniteconomics,Human
167,"@TheEmulator23 Hard lesson learned. #1 complaint in 300+ $AMZN reviews of 1st book. 15-yrs later, I'm staring at the market singularity.",Human
168,@rianflad @smartertrader $AMZN premium was holding strong after its afternoon ramp..could have a strong move in the making tmrrw at the bell,Human
169,Time to talk about $AMZN as beneficiary of plunging oil prices. Concessions will come from the shippers.  Creating competition for FreeShip,Human
170,$AMZN purchase of KIVA ROBOTS was brilliant By 2023 online shopping will rise to over 1/4 of all retail drivin mainly by super fast delivery,Human
171,@JonKirkpatrick Your statement sounds funny but that's about how it actually is. $AMZN will turn profits when it DECIDES to. Profits at will,Human
172,"$AMZN trending downward on the daily, possible next area of interest 284.56, might find support on the LBB on the weekly, monthly = bearish",Human
173,Key highlight on $AMZN held yesterday's low  and took out yesterday's hi #bullish still traders are relentless with #Amazon. Long till 2016,Human
174,So @ScottTurow has proven that these guys are guilty of nefarious acts of...capitalism! @jakonrath opening counter re $AMZN #IQ2USLive,Human
175,"Supplemental info prior to interview is Marty is extremely excited, Amazon $AMZN deal is a major event. May be postponed until AM news PR ?",Human
176,@amazon @AmazonHelp $AMZN is overrated and unreliable ordered 8 things received 4.... Business model flawed. 4 lost packages. nice execution,Human
177,"@JamesHalski I often add new positions to an existing position such as in $AMZN where I have a diagonal, calendar and vertical credit spread",Human
178,@JamesHalski To adjust the greeks. I wanted to short $AMZN but with earnings coming I expect the volatility to ramp up so I am long #Vega,Human
179,Content has value but Amazon already under fire for it's divergent investment pursuits. Becoming a movie studio likely doesn't help. $AMZN,Human
180,$AMZN not using model I expects with movies. This wil drain more cash with little revenue upside. Should offer ale carte straight to stream,Human
181,"""@Dzierga: @biggercapital @citgoman Don't understand $AMZN echo A limited iPhone attached to a speaker? No less than that, and big and ugly""",Human
182,"$AMZN Amazon Web Services to Use Wind Farm Power to Supply its Datacenters with Approximately 500,000 MWh of From our Stock News Alerts App",Human
183,Is $AMZN getting too big for their virtual britches?  Aggressive w/ Prime shipping but 40% of the time I don`t get my packages ..thanks USPS,Human
184,"What about the movie biz makes it ripe for ""disruption"" by $AMZN? Does it scale well? Not really. Can better analytics insure more hits? No.",Human
185,"Amazon plans to produce about a dozen movies a year for theaters, then give those movies to Amazon Prime customers within 2 months $AMZN",Human
186,If you own $AMZN and we violate 285 please hedge your position or take some profits if you have gains. Waiting for 284 may be too late,Human
187,"Like the diversity at $AMZN but hate that the ""vision"" isn't communicated well to shareholders. Bits & pieces make me nervous. @cnbc",Human
188,"Need a wall calendar. Too lazy to go to the store or mall to see them in person, why aren't they being sold in a fire sale on $AMZN?",Human
189,@hoteltrends agree $AMZN merchant model no threat as presented. Even if bought another OTA the threat would be to other retail not hotels,Human
190,@DDR_Corp @sarahhalzack @washingtonpost If $amzn only spent 1% of sales on R&D (like other B&M retailers) op margins would be about 10%,Human
191,$Amzn just broke my thinkorswim.  What a move without me. :-(  Upstairs sharing breakfast with the wife.  Need a computer in every room!,Human
192,"@DividendMaster @zozotrader Completely agree! That being said, I wont short this beast ahead of earnings. I don't trust $AMZN #'s",Human
193,"$amzn i got the news before anyone and when i was trading during that time, it was really sketchy. I sold it early b/c i've hit my target",Human
194,Great...didn't pull the trigger on those $AMZN 292.5 weekly calls when they were around 2.4...went to 13 in less than 2 hours...goddamn!,Human
195,Carl Icahn does NOT have any ownership share of $AMZN according to @CNBC - so those rumors of him trying to spin out #AWS is false.#cloud,Human
196,$AMZN Oh man a completely unknown twitter account LIED? The internet has betrayed us. I am completely shocked here. Whocouldaknowed?,Human
197,That was a credible rumor?? WHAT? RT @ScottWapnerCNBC: Sources tell me @Carl_C_Icahn has NO stake at all in $AMZN.  No position whatsoever.,Human
198,"Looks like there are ""sources"" on both sides of the coin here...! So who's flippin'? (@Carl_C_Icahn and his rumoured stake in $AMZN)",Human
199,online reviews RT @JeffCNYC: What would be the play on $AMZN as activist? Bezos won`t even meet w/shareholders or participate in conf calls,Human
200,And yet the world continues to turn. RT @ScottWapnerCNBC Sources tell me @Carl_C_Icahn has NO stake at all in $AMZN. No position whatsoever.,Human
201,"$AMZN making movies smells of desperation and lack of focus. I'm sure the movies will be good to watch, but won't be good for shareholders",Human
202,"Libel? ""@RottenAl: Algos should buy into the close.  Up on high volume, algos buy. They're pulling out all the stops at Ponzi Inc.  $AMZN""",Human
203,"Bold upgrade of $AMZN to BUY from BGC ahead of earns. ""Haiku: If book sales rebound, we may see margins improve, and profits should grow.""",Human
204,"Retailers will struggle, unless $AMZN goes BK and that will take years to happen.  Remember every big retailer dies. RIP #ZAYRES",Human
205,@GeorgeManiereg you're missing out my friend :)  I enjoy the hockey as well - also love the $AMZN fire TV box - it's pretty awesome,Human
206,"$AMZN In Celebration of Golden Globe Wins, Amazon is Making All Ten Transparent Episodes Free to Watch This SFrom our Stock News Alerts App",Human
207,@stocksage3 @CNBC  yesterday I posted about $AMZN ichan and I got screamed at so today I didn't post the rumor on TWTR  for that reason,Human
208,"$AMZN offers @AmazonFresh in NYC baby.Very exciting, now we can be much lazier then ever!!! YESSSS #amazonfresh #fresh @amazon @FreshDirect",Human
209,@DeidreZune TRUE.Nobody is factoring that $AMZN is going to be one of the greatest beneficiaries of ALL with plunging oil prices.CONCESSIONS,Human
210,@BioDueDiligence rabbit hole. My wife & kids use $AMZN everyday. Everything from diaper subscription to my 4 y/o downloading content 4 iPad.,Human
211,$AMZN nflx rips 100+.  Is there any risk mgnt group in any fund that doesn't drive fund to cover before earnings. Simple ripper into number,Human
212,@BiotechMoney18 I have been stalking $AMZN for about 2 weeks under 300 and never once pulled the trigger!! I need to get my shit in gear!!,Human
213,"While others were #showrooming around me @BestBuy, couldn't get anyone to pull a @Dell tablet to buy NOW! And they wonder why $AMZN wins?!",Human
214,"Haters may wanna hate but I hooked up our new @amazon Echo last night & this thing is badass. Great first step, useful, lotta fun. $AMZN",Human
215,"@businessinsider @chelseaharvey91 Funny, saw BI headline, investing on the brain, thought a story about $AMZN lack of profit. #investing",Human
216,$AMZN sales will actually INCREASE due to Blizzard.It's brick&mortar that will suffer. Still Long AMZN here.  Pays to suffer fools (Shorts).,Human
217,Wow - what's up with $AMZN? Every single order requires re-logging in - never had this problem before. Server must be flushing each time...,Human
218,@jimcramer @GuyAdami @RedDogT3 @JustinPulitzer $AMZN ready to do the outside day setup n the train is leaving the station. #OAKMARKLONG,Human
219,"Analysts need Ponzi to get to 313 before earnings. Why? Because a miss will cause a 10% drop, which will threaten 284 support. $AMZN",Human
220,Get more selection and same or better pricing on things I would have bought somewhere else anyway while saving time and money @MONEY $AMZN,Human
221,$AMZN I like these newer services they are deploying.  It makes perfect sense to keep their vendors close.  Thank you Mr. Bezos! ~Beauty,Human
222,"watching wife try to buy 3 things on @amazonuk 3 different merchants: Confused on price, shipping & Angry. Listen to wife and SHORT $AMZN",Human
223,"@businessinsider @bySamRo Wonder how $AMZN stock would do if it showed this kind of profit? Some get the halo, some don't. #wallstreet",Human
224,@GuyAdami @ScottWapnerCNBC @CNBCClosingBell $AMZN prime account addition is going to make a difference.. Bought one for Family this holiday,Human
225,"""Putting customers first is the only reliable way to create lasting value for shareowners."" T. Szkutak, $AMZN Customers AND shareowners win.",Human
226,@TJReazor @amazon Main reason $AMZN can do this is cause of the stupidly high valuation Wall St awards & maintains on the stock.,Human
227,@jimcramer Hey Jim. Need advice. I like the technical setup on $AMZN. Looks like it has a gap to fill i think revs and Prime will do well. U,Human
228,Let's see how $AMZN reacts to earnings.  SOLD -3 IRON CONDOR AMZN 100 (Weeklys) JAN5 15 312.5/335/312.5/290 CALL/PUT @16.85 CBOE,Human
229,"$amzn- the beauty of options- you never loose much when your wrong,,the bulls can scream short squeeze all they want but it wont apply to me",Human
230,"#Jobs $AMZN Amazon- During the holiday season the fulfillment network included more than 15,000 robots in 10 fulfillment centers across U.S.",Human
231,I know prolly everyone is saying this right now... But that's the first bullish reaction I've seen to $AMZN earnings in a looooooonggg time,Human
232,"Impressive membership growth for Amazon Prime in 2014: ""On a base of tens of millions, worldwide paid membership grew 53%."" $AMZN",Human
233,I apologize to my Twitter community as I kept quiet on my $amzn upside thoughts & only let the VTF now. as i didn't want to deal with noise,Human
234,It sure would be lucrative to have an extended hours market for stock options. Waiting for the next morning is unnecessary risk. $AMZN,Human
235,"$AMZN At this pace one year from now top line growth could be flat. Question is as an investor, are paying for growth and margin expansion?",Human
236,"@Turnedsideways this is insane. oddly enough, the largest ER play i ever had was in $AMZN a couple years back for a 15x bagger. hoping 4 it.",Human
237,"Being in $AMZN is like being with a bipolar person. One minute you are up, next minute you are down.  Managing the troughs and peaks is key.",Human
